FERTILZER PRODUCT CATALOGUE,,,,,,,,,,nutrients,,,,,,,,,,,,,,,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Code,AFO 8 code,AFO 10 code,CPC code,Class,Fertilizer Name (industry),FAO product description,Description,Brand Name,Usage,Type,N,P,K,S,MgO,CaO,Zn,B,Mn,Cu,Fe,Mo,Cl,ALG,BEN,BUR,BDI,CMR,COD,EGY,ETH,GHA,GBS,GUI,CIV,KEN,LBR,MAD,MAW,MLI,MRI,MOZ,NIG,NGR,RSA,RWA,SEN,SEY,SLE,SUD,TAN,TOG,UGA,ZAM,ZIM,Main use [crops],Recommened Application Rates,Source
31010000,,,34654,Organic Fertilizers,Organic Fertilizers,Organic material,Total of Organic Materials,,Fertilizers,,,,,,,,,,,,,,,,X,X,,X,X,,,X,X,,X,X,,,,X,,X,X,X,,,X,,,,X,X,,X,,,,
28141000,,,34651,Nitrogenous fertilizers,Anhydrous Ammonia,"Ammonia, anhydrous",,,,G,82,0,0,0,,,,,,,,,,,,,,X,X,,,,,,,X,,,,X,,X,,X,,,X,,,,X,,,,,,,
28142000,,,34652,Nitrogenous fertilizers,Ammonium Hydroxide,,Ammonia in Aqueous Solution,,,L,25,0,0,0,,,,,,,,,,,,,,X,X,,,,,,,X,,,,X,,,,X,,,,,,,X,,,,,,,
31021000,,,34611,Nitrogenous fertilizers,Urea,Urea,Prilled Urea,,Fertilizers,S,46,0,0,0,,,,,,,,,,,X,X,X,X,,,X,X,X,,X,X,,,X,X,,X,X,X,,X,X,,X,,X,X,X,X,,"Maize, Sugarcane, Flowers, Potato, Pineapple, Pea, Rice,  Oil-Palm, Cotton,  Tobacco, Wheat",,
31022100,,,34612,Nitrogenous fertilizers,Ammonium sulphate,Ammonium sulphate,,,,S,21,0,0,24,,,,,,,,,,,,X,X,X,,,,X,X,,X,X,,,,X,,,X,X,,X,X,,,,X,X,X,X,,"Flowers, Rice, Cotton, Cassava. Groundnut, Wheat",,
31022900,,,,Nitrogenous fertilizers,Double Salts of AS or AN,Ammonium sulphate nitrate,Ammonium Sulphate Nitrate,,,,26,0,0,13,,,,,,,,,,,X,X,,,,,,,X,,X,,,,,X,,X,,X,,,X,,,,,X,,X,,"Wheat, Potatoes and Vegetables, Coffee",,
31023000,,,34613,Nitrogenous fertilizers,Ammonium nitrate,Ammonium nitrate,,,Mostly Industrial,S,33,0,0,0,,,,,,,,,,,X,X,,X,X,,,X,X,,X,X,,,,X,,X,X,X,,X,X,,,,X,X,X,X,,Horticulture,,
31024000,,,34615,Nitrogenous fertilizers,CAN,Calcium ammonium nitrate,Calcium Ammonium Nitrate,,,S,21,0,0,0,,,,,,,,,,,,,,,X,,,X,,,X,X,,,X,,,X,,X,,,X,,,,X,,X,X,,"Maize, Wheat + Barley, Sugarcane, Flowers, Coffee, Tobacco, Potato, Pineapple, Pea",,
31025000,,,34150,Nitrogenous fertilizers,Sodium Nitrate, Sodium nitrate,,,,S,16,0,0,0,,,,,,,,,,,,X,,X,,,,X,,,X,X,,,,X,,X,X,X,,X,X,,,,X,,,X,,,,
31026000,,,,Nitrogenous fertilizers,Calcium Nitrate ,Calcium nitrate,,,,S,16,0,0,0,0,19,,,,,,,,,,X,X,X,,,,X,,,X,X,,,,X,,,,,,,X,,,,X,,X,X,,Flowers,,
