"States (code)","States","Rainfall 2005","Rainfall 2006"
"65698","Abia","99,5","171,7"
"2211","Adamawa","72,2","88,1"
"2212","Akwa Ibom","234,3","213,6"
"65699","Bauchi","87,3","159,19"
"2216","Borno","51,6","84,3"
"2217","Cross River","311,8","43,3"
"2218","Delta","146,4","240,5"
"2219","Edo","167,7","158,9"
"65702","Ekiti","114,6","196,5"
"65703","Enugu","143,1","109,7"
"65704","Gombe","81,3","174,7"
"2222","Imo","212,4","80,1"
"2224","Kaduna","83,4","243"
"2225","Kano","144,7","74,4"
"2226","Katsina","60,6","109,1"
"2228","Kogi","77,3","60,5"
"2229","Kwara","108,7","140,3"
"2230","Lagos","123,7","108,7"
"65705","Nassarawa","107,6","124,9"
"2231","Niger","90,8","61,4"
"2232","Ogun","76,5","118,6"
"65706","Ondo","111,9","97"
"2234","Osun","94,1","115,1"
"2235","Oyo","100,4","122,5"
"65707","Plateau","100,3","105"
"65708","Rivers","171,2","105,5"
"65710","Zamfara","76,7","215"
"2221","FCT, Abuja","126,1","80,9"
"65698","Abia","171,7","109,3"
