"ADM2_CODE","ADM2_NAME","POP_2010","POV_125"
22604,"Fufore",190702,0.710698
22605,"Ganye",219275,0.781844
22606,"Gombi",135983,0.74026
22607,"Guyuk",171986,0.736976
22608,"Hong",196189,0.724023
22609,"Jada",134675,0.729657
22610,"Madagali",124131,0.666514
22611,"Maiha",136774,0.673829
22612,"Mayo-bel",153102,0.727796
22613,"Michika",131017,0.680224
22614,"Mubi",232684,0.689409
22615,"Numan",407438,0.741263
22616,"Shelleng",174303,0.762286
22617,"Song",358705,0.722887
22618,"Yola",457450,0.707799
22619,"Abak",108021,0.547611
22620,"Eket",171086,0.514699
22621,"Ekpe-ata",110893,0.580882
22622,"Essien-u",168507,0.550852
22623,"Etimekpo",121608,0.52966
22624,"Etinan",127876,0.536868
22625,"Ikono",165251,0.583895
22626,"Ikot-aba",177496,0.489462
22627,"Ikot-ekp",251353,0.552891
22628,"Ini",119856,0.620016
22629,"Itu",327223,0.618068
22630,"Mbo",118444,0.664478
22631,"Mkpat-en",134965,0.507818
22632,"Nsit-ibo",173288,0.554097
22633,"Nsit-ubi",121253,0.550672
22634,"Okobo",163744,0.627345
22635,"Onna",142471,0.499975
22636,"Oron",184402,0.61892
22637,"Oruk-ana",164545,0.529741
22638,"Ukanafun",138006,0.518421
22639,"Uquoiben",163791,0.587234
22640,"Uruan",218862,0.633982
22641,"Urueoffo",65697,0.595608
22642,"Uyo",419579,0.54347
22643,"Aguata",416422,0.38341
22644,"Anambra",161362,0.567656
22645,"Anaocha",321943,0.388344
22646,"Awkanort",173817,0.56956
22647,"Awkasout",266773,0.459118
22648,"Idemili",692873,0.369828
22649,"Ihiala",326680,0.40607
22650,"Njikoka",317674,0.427642
22651,"Nnewinort",229785,0.382826
22652,"Nnewisou",278330,0.421911
22653,"Ogbaru",83518,0.508844
22654,"Onitshan",395499,0.281371
22655,"Orumbano",266343,0.519737
22656,"Orumbaso",207024,0.553162
22657,"Oyi",409306,0.547381
22681,"Ado",221133,0.793274
22682,"Apa",197372,0.719404
22683,"Buruku",230883,0.698427
22684,"Gboko",491442,0.698972
22685,"Guma",178471,0.731662
22686,"Gwer",172265,0.740582
22687,"Gwerwest",127340,0.731771
22688,"Katsina (benue)",409133,0.731695
22689,"Konshish",275516,0.7414
22690,"Kwande",293227,0.720787
22691,"Makurdi",351529,0.681138
22692,"Ogbadibo",123652,0.714079
22693,"Oju",300966,0.786041
22694,"Okpokwu",175235,0.738988
22695,"Oturkpo",405567,0.733587
22696,"Ukum",209344,0.722156
22697,"Ushongo",179834,0.709921
22698,"Vandeiky",240617,0.683771
22699,"Askira/u",159240,0.734257
22700,"Bama",371574,0.57561
22701,"Biu",378745,0.783851
22702,"Damboa",342902,0.762111
22703,"Dikwa",105984,0.557255
22704,"Gwoza",233423,0.653822
22705,"Kaga",272931,0.780712
22706,"Konduga",294443,0.662403
22707,"Kukawa",376248,0.673922
22708,"Maidugur",847103,0.591844
22709,"Mobbar",403607,0.767851
22710,"Monguno",252285,0.604247
22711,"Ngala",326302,0.535565
22712,"Shani",246306,0.751856
22713,"Abi",262461,0.739232
22714,"Akamkpa",159298,0.751539
22715,"Akpabuyo",266102,0.684404
22716,"Biase",195591,0.715765
22717,"Boki",173345,0.752469
22718,"Calabar",421569,0.641007
22719,"Ikom",276007,0.753298
22720,"Obanliku",108348,0.686501
22721,"Obubra",164935,0.76765
22722,"Obudu",146213,0.6864
22723,"Odukpani",232216,0.683001
22724,"Ogoja",294018,0.709644
22725,"Yakurr",194056,0.745317
22726,"Yala Cross",171231,0.739736
22727,"Aniochan",110346,0.447736
22728,"Aniochas",145249,0.40343
22729,"Bomadi",117464,0.3699
22730,"Burutu",263770,0.531991
22731,"Ethiopee",118190,0.316748
22732,"Ethiopew",191804,0.331802
22733,"Ikanorth",211648,0.378881
22734,"Ikasouth",134325,0.364958
22735,"Isokonor",115513,0.356292
22736,"Isokosou",240138,0.351455
22737,"Ndokwaea",146846,0.452225
22738,"Ndokwawe",241673,0.35688
22739,"Okpe",404334,0.294547
22740,"Oshimill",228462,0.462692
22741,"Sapele",223952,0.307065
22742,"Ughelino",420400,0.32489
22743,"Ugheliso",222931,0.337073
22744,"Warrinorth",158677,0.614657
