adm1_code,adm1_label,valueX,valueY
39316.00000,Oueslatia,820.0,279.0
39431.00000,Sidi Bouzid Ouest,628.5,101.5
39324.00000,Hassi El Ferid,481.0,9.0
39280.00000,Gabes Sud,17.0,4.0
39337.00000,Dahmani,1377.0,360.0
39350.00000,Chorbane,94.0,184.0
39310.00000,Chrarda,192.0,384.0
39432.00000,Souk Jedid,170.0,66.0
39405.00000,Takelsa,231.0,320.0
39329.00000,Sbeitla,546.0,318.6666666666667
39347.00000,Tejerouine,1386.0,249.0
39320.00000,Djediane,1197.0,202.0
39420.00000,Skhira,35.5,11.5
39495.00000,Zaghouan,424.0,386.0
39409.00000,El Amra,69.0,6.0
39402.00000,Menzel Temime,120.0,352.0
39439.00000,Makhtar,1068.0,364.0
39271.00000,Mateur,136.0,116.0
39411.00000,El Hancha,23.0,180.0
39332.00000,Douz,37.0,2.0
39437.00000,Gaafour,289.0,312.0
39314.00000,Kairouan Sud,203.0,207.0
39309.00000,Chbika,273.0,370.0
39429.00000,Sidi Ali Ben Aoun,419.0,37.0
39341.00000,Kalaa Senan,1339.0,201.0
39322.00000,Feriana,257.0,27.333333333333332
39407.00000,Bir Ali Ben Khelifa,95.0,20.0
39413.00000,Menzel Chaker,128.0,78.0
39430.00000,Sidi Bouzid Est,496.0,313.0
39423.00000,Mazzouna,34.0,2.0
39433.00000,Bargou,902.0,369.0
39426.00000,Ouled Haffouz,241.0,415.0
39270.00000,Joumine,100.0,94.0
39323.00000,Foussana,410.5,105.0
39333.00000,El Faouar,25.833333333333332,2.3333333333333335
39414.00000,Mhares,96.0,20.0
39434.00000,Bouarada,394.0,416.0
39250.00000,Testour,222.0,210.0
39308.00000,Alaa,956.5,268.0
39427.00000,Regueb,118.0,73.0
39307.00000,Tabarka,355.0,39.0
39317.00000,Sbikha,270.5,346.5
39359.00000,Borj El Amri,227.0,256.0
39453.00000,Sidi El Heni,156.0,289.0
39342.00000,Kef Est,853.0,277.0
39445.00000,Enfidha,116.0,364.0
39448.00000,Kalaa Kebira,178.0,334.0
39492.00000,Fahs,612.0,376.0
39327.00000,Kasserine Sud,437.0,114.0
39301.00000,Bou Salem,400.0,45.0
39435.00000,Bourouis,970.0,328.0
39343.00000,Kef Quest,935.0,205.0
39395.00000,Grambalia,171.0,285.0
39245.00000,Beja Sud,534.0,56.0
39362.00000,Jedaida,293.0,221.0
39440.00000,Rouhia,974.0,136.0
39315.00000,Nasrallah,337.0,607.0
39444.00000,Bouficha,177.0,351.0
39356.00000,Oueled Chamekh,192.0,384.0
39331.00000,Thala,957.0,170.0
39441.00000,Siliana Nord,964.0,518.0
39318.00000,Sidi Amor Bou Hajla,269.0,453.0
39345.00000,Nebeur,805.5,173.5
39422.00000,Jilma,555.0,173.0
39408.00000,Djbeniana,3.0,44.0
39418.00000,Sfax Sud,69.0,13.0
39272.00000,Menzel Bourguiba,82.0,2.0
39400.00000,Korba,82.0,304.0
39493.00000,Nadhour,309.0,587.0
39396.00000,Hammam Ghezaz,122.0,248.0
39442.00000,Siliana Sud,1366.0,372.0
39357.00000,Sidi Alouane,25.0,211.0
39312.00000,Hajeb El Ayoun,474.0,445.0
39346.00000,Sakiet Sidi Youssef,678.0,219.0
39259.00000,M'hamdia,185.0,297.0
39358.00000,Souassi,102.0,251.0
39247.00000,Mejez El Bab,330.0,295.0
39436.00000,Elkrib,643.0,174.0
73772.00000,Lampung Timur,4503.2,677.8
73770.00000,Lamandau,2873.8333333333335,478.5
18096.00000,Situbondo,1428.3333333333333,150.66666666666666
73802.00000,Muaraenim,1955.3636363636363,995.0
73696.00000,Kepulauan Mentawai,2239.2,1259.8
73830.00000,Poso,4202.0,1761.5
73784.00000,Mamasa,2954.6666666666665,889.8333333333334
73798.00000,Minahasa Selatan,2090.0,213.0
73654.00000,Bengkulu Utara,2138.4285714285716,631.8571428571429
18157.00000,Sumba Barat,181.0,43.25
17982.00000,Gunungkidul,783.5,65.0
73808.00000,Nabire,6047.952380952381,2494.3333333333335
73678.00000,Halmahera Selatan,3674.1666666666665,584.1666666666666
73782.00000,Maluku Tenggara Barat,935.75,114.875
73785.00000,Mamuju Utara,2835.3333333333335,1033.3333333333333
18165.00000,Kota Pekanbaru,1721.0,1211.0
17971.00000,Buleleng,311.0,48.0
18151.00000,Ende,89.0,39.0
18092.00000,Ponorogo,1835.0,140.33333333333334
73824.00000,Pegununganbintang,3732.1739130434785,2816.0434782608695
18020.00000,Lebak,3635.2,951.4
73822.00000,Kota Pasaman Barat,1411.625,879.875
73850.00000,Simeulue,807.0,2198.5
73626.00000,Aceh Selatan,823.2,686.8
18158.00000,Sumba Timur,141.72727272727272,34.0
18105.00000,Sambas,1911.3333333333333,869.0
73875.00000,Tulangbawang,3053.875,443.0
73804.00000,Muko-muko,1940.5,534.75
73815.00000,Ogan Komering Ilir,2380.318181818182,668.3181818181819
73807.00000,Musirawas,2230.090909090909,910.6363636363636
73811.00000,Nias Selatan,1448.8333333333333,1055.5
73809.00000,Naganraya,412.8,600.8
18155.00000,Ngada,24.75,15.0
18007.00000,Bekasi,2911.5,968.0
18083.00000,Madiun,1531.0,535.0
73645.00000,Barito Timur,2432.6,581.2
18082.00000,Lumajang,1454.0,11.0
73766.00000,Kutai Barat,1943.5853658536585,1213.9024390243903
73660.00000,Bonebolango,2611.5,596.5
73636.00000,Bandung,1766.8,777.6
18149.00000,Alor,53.0,23.0
73773.00000,Landak,2419.818181818182,811.0
18040.00000,Karanganyar,2032.0,301.0
18038.00000,Grobogan,1114.0,476.6666666666667
73834.00000,Rejanglebong,2474.0,724.5
18115.00000,Tabalong,2499.5,558.8333333333334
73869.00000,Telukbintuni,4517.037037037037,1734.6666666666667
73661.00000,Bovendigoel,4384.969696969697,1269.121212121212
18098.00000,Trenggalek,1223.0,154.0
73671.00000,Donggala,2835.24,1509.8
73741.00000,Kota Palu,2689.0,775.0
18023.00000,Purwakarta,2869.0,913.0
18159.00000,Timor Tengah Selatan,178.42857142857142,59.0
73833.00000,Rajaampat,6939.0,978.3
18036.00000,Cilacap,2706.0,789.0
73695.00000,Kendari,9882.8125,1422.625
73866.00000,Tapanuli Utara,1082.0,858.8571428571429
73662.00000,Bulungan,2777.6,4125.6
73680.00000,Halmahera Timur,2939.0,870.5
73651.00000,Bengkalis,1148.5555555555557,728.1666666666666
18011.00000,Cirebon,2238.0,561.0
73663.00000,Bungo,1973.75,1412.0
73792.00000,Maros,4360.0,630.5
73721.00000,Kota Dumai,1197.0,635.0
73823.00000,Pasir,2204.6428571428573,874.5714285714286
18049.00000,Kudus,540.0,470.0
73820.00000,Pakpakbharat,608.0,288.0
18197.00000,Bolaangmongondow,2885.1,719.4
73685.00000,Jayapura,1562.5,1868.2142857142858
18184.00000,Sinjai,5431.0,1181.0
73863.00000,Tanjungjabung Timur,1988.7142857142858,1360.7142857142858
73700.00000,Kepulauan-sula,3588.875,339.125
18170.00000,Bulukumba,4113.5,1238.5
73840.00000,Sarmi,2391.8,2683.5333333333333
73755.00000,Kota Tarakan,4078.0,3465.0
18160.00000,Timor Tengah Utara,44.0,113.0
73686.00000,Jayawijaya,2177.3333333333335,2689.777777777778
18103.00000,Kota Pontianak,1651.0,1176.0
73826.00000,Penajam Paser Utara,1931.0,529.5
18162.00000,Indragiri Hilir,1746.8823529411766,1221.6470588235295
73778.00000,Luwu Utara,4038.4,1869.8
73681.00000,Halmahera Utara,2383.3333333333335,730.5
73644.00000,Barito Selatan,2232.4,540.8
73797.00000,Mimika,4554.071428571428,2041.142857142857
73752.00000,Kota Tangerang,3744.0,829.0
18180.00000,Pinrang,3390.6666666666665,828.6666666666666
73628.00000,Aceh Tamiang,2565.6666666666665,1856.0
18215.00000,Tanahdatar,1870.0,575.0
73679.00000,Halmahera Tengah,3089.125,860.0
18064.00000,Bangkalan,2969.0,169.0
18109.00000,Baritokuala,1157.0,302.0
73666.00000,Buton,2426.8,100.5
73872.00000,Tojounauna,4069.3333333333335,1624.7777777777778
73630.00000,Aceh Tenggara,1697.8,1005.2
73655.00000,Biaknumfor,3969.285714285714,2347.8571428571427
18030.00000,Banjarnegara,1299.0,463.0
73675.00000,Gorontalo,2742.0,1088.2
73793.00000,Malinau,2458.3333333333335,3570.607843137255
73841.00000,Sarolangun,2220.5454545454545,1178.909090909091
73836.00000,Rokanhulu,1303.8,1150.8
73634.00000,Asmat,6668.0,1690.8947368421052
18179.00000,Pangkajene Kepulauan,3882.5,647.5
18146.00000,Lombok Tengah,83.0,107.5
73819.00000,Padangpariaman,1102.0,352.0
18097.00000,Sumenep,2421.25,239.75
73839.00000,Sanggau,2654.277777777778,809.8888888888889
17960.00000,Aceh Besar,483.5,274.5
18130.00000,Kota Balikpapan,1928.0,481.0
73769.00000,Lahat,2826.2727272727275,862.0909090909091
73670.00000,Dharmasraya,1810.0,819.0
73727.00000,Kota Jayapura,2059.5,1173.5
73763.00000,Kotawaringin Timur,2655.5714285714284,848.2857142857143
18054.00000,Purbalingga,1781.0,580.0
18145.00000,Lombok Barat,351.0,123.5
73813.00000,Nunukan,2909.076923076923,3759.6923076923076
18102.00000,Ketapang,2667.5535714285716,520.5
73674.00000,Gayolues,1466.75,1156.25
73864.00000,Tapanuli Selatan,1139.1764705882354,744.6470588235294
18060.00000,Tegal,1782.0,476.0
18002.00000,Kerinci,2246.3333333333335,688.6666666666666
73853.00000,Solok,1826.4,496.2
73776.00000,Lingga,2824.0,837.5
18135.00000,Lampung Selatan,3644.0,532.0
18101.00000,Kapuas Hulu,2625.025,796.5
73856.00000,Sukamara,2782.8,400.8
18171.00000,Enrekang,4579.5,1362.5
18087.00000,Nganjuk,1804.0,232.0
73657.00000,Bireuen,622.5,624.5
73676.00000,Gunungmas,2170.5,1520.3333333333333
18196.00000,Muna,5266.166666666667,270.0
73650.00000,Bener Meriah,973.5,1396.5
73697.00000,Kepulauan-aru,1649.5,93.33333333333333
73873.00000,Toli-toli,2188.25,1272.25
18131.00000,Kota Samarinda,1340.0,1114.0
18014.00000,Karawang,3058.0,654.3333333333334
73765.00000,Kupang,191.66666666666666,160.0
18108.00000,Banjar,2241.5714285714284,819.7142857142857
73777.00000,Luwu Timur,7029.444444444444,1688.7777777777778
73689.00000,Kapuas,2363.6470588235293,911.5882352941177
73664.00000,Buol,3068.6666666666665,1100.3333333333333
73629.00000,Aceh Tengah,467.4,811.2
18188.00000,Wajo,5827.0,1685.3333333333333
