ADM2_CODE,ADM2_NAME,Rainfall May 2014 (mm),NDVI May 2014 (index*10000)
51333,Kiambu,113.5000,6873.29
51334,Kirinyaga,122.5000,7205.36
51335,Maragua,79.0000,6789.00
51336,Muranga,79.0000,7169.38
51337,Nyandarua,143.2500,5102.74
51338,Nyeri,153.3330,6224.41
51339,Thika,78.0000,6097.81
51340,Kilifi,1297.1700,6223.44
51341,Kwale,1151.3300,6000.99
51342,Lamu,2795.2900,7055.09
51343,Malindi,1352.5600,6006.02
51344,Mombasa,1297.1700,5194.83
51345,Taita Taveta,260.3330,3855.76
51346,Tana River,639.7710,3510.02
51347,Embu,130.0000,6716.38
51348,Isiolo,43.8750,2441.70
51349,Kitui,123.6000,4133.48
51350,Machakos,46.2500,4723.19
51351,Makueni,50.6667,4881.69
51352,Marsabit,30.0270,2146.18
51353,Mbeere,83.6667,4810.64
51354,Meru Central,114.6670,6167.60
51355,Meru North,60.0000,4984.72
51356,Meru South,237.0000,6142.06
51357,Moyale,338.0910,4152.99
51358,Mwingi,62.1818,4009.64
51359,Tharaka,49.5000,4495.00
51360,Nairobi,35.0000,4313.33
51361,Garissa,487.0000,3186.72
51362,Ijara,2159.1400,6053.49
51363,Mandera,281.1180,3269.49
51364,Wajir,265.9310,2855.10
51365,Bondo,546.0000,6340.56
51366,Central Kisii,792.0000,7236.83
51367,Gucha,792.0000,7261.58
51368,Homa Bay,859.0000,7345.33
51369,Kisumu,830.8000,6379.23
51370,Kuria,291.0000,6624.40
51371,Migori,554.6670,6850.13
51372,Nyamira,223.3330,6826.15
51373,Nyando,893.0000,6328.70
51374,Rachuonyo,1007.0000,6670.47
51375,Siaya,789.5000,7061.08
51376,Suba,996.0000,6642.67
61009,Administrative unit not available,830.8000,647.76
51377,Baringo,398.6000,4216.87
51378,Bomet,223.3330,6463.68
51379,Buret,641.0000,7398.17
51380,Kajiado,50.3929,3427.04
51381,Keiyo,565.6670,6371.36
51382,Kericho,803.0000,6778.79
51383,Koibatek,430.6670,5309.69
51384,Laikipia,149.9170,4031.09
51385,Marakwet,551.5000,6562.60
51386,Nakuru,456.3750,5058.99
51388,Narok,65.3889,4880.61
51389,Samburu,45.3571,3316.18
51390,Trans Mara,376.3330,6154.28
51391,Trans Nzoia,1008.0000,6579.68
51392,Turkana,91.0423,2181.42
51393,Uasin Gishu,1239.5000,5195.31
51394,West Pokot,330.3330,5095.35
61001,Administrative unit not available,211.0000,-588.37
68769,Nandi North,1558.0000,6813.36
68770,Nandi South,1011.0000,7182.87
51395,Bungoma,2548.0000,7127.71
51396,Busia,1280.0000,7158.94
51397,Butere Mumias,1529.0000,7197.06
51398,Kakamega,2027.0000,7255.14
51399,Lugari,1810.5000,6269.36
51400,Mt Elgon,1257.0000,6588.73
51401,Teso,2305.0000,7241.67
51402,Vihiga,911.0000,7136.50
61005,Administrative unit not available,1280.0000,5135.33
