ADM2_CODE,ADM2_NAME,Rainfall June 2014 (mm),NDVI June 2014 (index*10000)
51333,Kiambu,96.0000,5855.71
51334,Kirinyaga,107.5000,5991.93
51335,Maragua,175.5000,6061.00
51336,Muranga,175.5000,6110.69
51337,Nyandarua,248.2500,5731.22
51338,Nyeri,83.0000,6232.56
51339,Thika,184.5000,5330.84
51340,Kilifi,27.6667,5869.34
51341,Kwale,36.4444,5570.09
51342,Lamu,449.5710,7116.50
51343,Malindi,20.6667,5767.30
51344,Mombasa,27.6667,5376.50
51345,Taita Taveta,5.1429,3090.94
51346,Tana River,28.5833,2945.98
51347,Embu,42.0000,6129.85
51348,Isiolo,5.7188,1951.93
51349,Kitui,0.4000,3185.13
51350,Machakos,64.3750,3822.89
51351,Makueni,2.7778,4004.94
51352,Marsabit,8.9054,1648.85
51353,Mbeere,38.6667,3669.52
51354,Meru Central,177.6670,5713.21
51355,Meru North,35.8333,3849.97
51356,Meru South,69.0000,5726.56
51357,Moyale,0.0000,2810.24
51358,Mwingi,0.2727,3121.24
51359,Tharaka,47.0000,3669.28
51360,Nairobi,320.0000,4295.08
51361,Garissa,20.1667,2536.90
51362,Ijara,196.7860,5764.45
51363,Mandera,0.0000,2512.82
51364,Wajir,10.4861,2174.26
51365,Bondo,293.0000,5686.19
51366,Central Kisii,717.0000,7107.42
51367,Gucha,717.0000,7255.67
51368,Homa Bay,181.0000,6995.33
51369,Kisumu,538.8000,6199.85
51370,Kuria,459.0000,6571.70
51371,Migori,422.6670,6643.91
51372,Nyamira,843.6670,7007.54
51373,Nyando,800.0000,6340.70
51374,Rachuonyo,601.0000,6566.47
51375,Siaya,553.5000,6910.88
51376,Suba,567.0000,6227.89
61009,Administrative unit not available,538.8000,790.88
51377,Baringo,493.7000,4577.56
51378,Bomet,843.6670,6384.04
51379,Buret,993.0000,7299.17
51380,Kajiado,35.9286,2974.85
51381,Keiyo,488.3330,6942.76
51382,Kericho,975.5000,7325.94
51383,Koibatek,474.6670,5774.36
51384,Laikipia,161.4170,3832.70
51385,Marakwet,771.5000,6773.96
51386,Nakuru,501.0000,5663.92
51388,Narok,346.8890,4945.14
51389,Samburu,48.2500,2738.35
51390,Trans Mara,482.3330,6379.70
51391,Trans Nzoia,999.0000,7380.37
51392,Turkana,106.7460,1997.16
51393,Uasin Gishu,1382.2500,6715.93
51394,West Pokot,321.5000,5090.27
61001,Administrative unit not available,294.8890,-804.59
68769,Nandi North,1832.0000,7469.72
68770,Nandi South,737.0000,7373.57
51395,Bungoma,1360.0000,7232.50
51396,Busia,599.5000,6813.53
51397,Butere Mumias,1017.0000,7014.00
51398,Kakamega,1563.0000,7243.29
51399,Lugari,1758.0000,7235.36
51400,Mt Elgon,751.0000,6413.07
51401,Teso,585.0000,7020.56
51402,Vihiga,612.0000,7111.63
61005,Administrative unit not available,599.5000,4926.67
