"ADM2_CODE","ADM2_NAME","EVI","Precipitat"
40943,"Eslamabad-e gharb",1008.63031,83.78427124
40964,"Gilan-e gharb",1339.432495,79.75397491
40974,"Hersin",824.4821167,68.76258087
40980,"Javanrud",1075.171753,108.1063995
40989,"Kangavar",446.9065857,67.03982544
40995,"Kermanshah",1133.847534,74.17093658
41062,"Paveh",749.9881592,119.0279465
41066,"Qasr-e shirin",733.6481323,35.81013489
41082,"Sahneh",499.8744202,68.59354401
41087,"Sar-e pol-e zahab",1481.10791,96.90809631
41119,"Sonqor",-80.54281616,66.64113617
40917,"Busheher",1027.240356,57.71028519
40927,"Dashtestan",1404.876953,56.90225983
40928,"Dashty",1212.659058,51.59933472
40929,"Dayyer",1205.487671,44.79199982
40933,"Deylaman",1247.369995,51.59421539
40962,"Genaveh",1189.932373,53.94093704
40988,"Kangan",1432.575439,46.20227051
41126,"Tangestan",1198.487427,55.70590591
40878,"Ardel",632.9130249,61.41476822
40912,"Borujen",685.5373535,49.91249084
40951,"Farsan",122.3280563,60.40000153
41017,"Lordegan",900.0872803,58.23379135
41109,"Shar-e kord",605.6746216,53.22787857
40865,"Administrative unit not available",794.3147583,9.974126816
40867,"Ahar",-231.3953552,24.93073654
40885,"Azarshahr",-133.4754181,30.31796265
40894,"Banab",38.50689697,40.02329254
40913,"Bostanabad",-301.9337158,29.24171829
40972,"Hashtrud",-86.2103653,39.81224442
40973,"Heris",-224.8224182,25.49435997
40982,"Jolfa",235.1378632,21.51783943
40986,"Kalibar",75.06518555,25.88251114
41024,"Malekan",22.9409523,43.52523041
41026,"Maragheh",-174.1389313,34.79916
41027,"Marand",20.90715599,22.94583893
41038,"Mianeh",245.5931702,42.00530243
41059,"Osku",-190.1979675,27.97775459
41088,"Sarab",-31.70036888,28.48824501
41101,"Shabestar",-78.41674805,25.15829468
41121,"Tabriz",-200.6195374,25.60401535
40875,"Aran Va Bidgol",509.247406,25.42204666
40879,"Ardestan",484.1414795,17.74762917
40903,"Barkhvar va meymeh",600.4723511,25.53075981
40941,"Esfehan",717.7091064,20.57073784
40948,"Falavarjan",1118.140137,23.45974541
40949,"Faridan",107.3377991,46.08921814
40954,"Fereydunshahr",-154.4241791,52.33250046
40966,"Golpaygan",549.3171997,35.80731583
40991,"Kashan",565.6351929,26.38924026
41000,"Khomeinishahr",971.2929077,23.80608368
41007,"Khvansar",186.1127167,38.78980637
41015,"Lanjan",625.0490112,37.9199295
41041,"Mobarakeh",824.3148804,29.91955376
41042,"Naein",564.1517334,14.12298203
41045,"Najafabad",556.6343384,32.52553177
41048,"Natanz",515.8052368,21.44463921
41084,"Samirom",774.5652466,50.00891876
41107,"Shahreza",748.5556641,33.89679718
41131,"Tiran",513.3486328,39.27515411
40860,"Abadeh",668.1587524,37.20552826
40880,"Arsanjan",836.328064,58.07646561
40904,"Bavanat",788.1103516,47.55809784
40924,"Darab",974.1374512,49.87857056
40939,"Eqlid",892.7355347,51.40768433
40945,"Estahban",1055.725586,59.9331398
40952,"Fasa",1064.86377,61.31597137
40955,"Firuzabad",1190.684448,63.35464859
40977,"Jahrom",1036.658936,64.55780792
40993,"Kazerun",1518.116943,60.03217316
41002,"Khorrambid",826.2969971,49.30503082
41013,"Lamerd",1314.041748,43.37031937
41016,"Lar",1044.18689,47.47605515
41025,"Mamasani",1367.686523,59.65581894
41029,"Marvdasht",1150.069702,63.59712219
41050,"Neyriz",714.5499268,51.68379211
41099,"Sepidan",1123.084961,67.05604553
41111,"Shiraz",1141.21228,76.07066345
40871,"Amlash",1568.501343,50.58395386
40883,"Astane-ye ashrafieh",2043.780762,114.4846268
40884,"Astara",1525.228882,62.81460571
40897,"Bandar-e anzali",1500.737549,136.3703003
40957,"Fuman",1598.958008,75.12944031
41010,"Kuchesfehan",2291.572998,127.6800385
41012,"Lahijan",2285.363281,108.2511215
41014,"Langrud",2086.303711,88.21504211
41030,"Masal",1765.624878,82.30863953
41076,"Rezvanshahr",1622.069702,77.51075745
41079,"Rudbar",1053.373657,46.01216125
41080,"Rudsar",1139.282959,48.49391174
41100,"Seyahkal",1377.641479,54.57115555
41103,"Shaft",1779.21521,95.66305542
41118,"Someehsara",2121.487061,131.0962524
41128,"Tavalesh",1341.069336,60.11242676
40881,"Asadabad",-0.234413967,62.65789413
40892,"Bahar",-294.8374939,55.3823967
40971,"Hamedan",142.7357636,47.07798767
40984,"Kabudarahang",-232.4725647,51.02522278
41023,"Malayer",287.8883667,54.44045639
41043,"Nahavand",477.2139893,65.02313232
41074,"Razan",-179.7981567,39.59874725
41135,"Tuyserkan",299.822998,60.0892067
40901,"Bardeskan",604.8264771,23.19757271
40909,"Birjand",514.5289917,26.902668
40910,"Bojnord",715.3799438,27.88971519
40920,"Chenaran",912.4597778,28.0643158
40923,"Dar-e Gaz",902.1856079,27.18127251
40940,"Esfarayen",799.7969971,27.04068565
40950,"Fariman",669.2130737,34.4187851
40953,"Ferdos",606.9321899,23.07221794
40959,"Gaenat",707.9511719,32.81492615
40967,"Gonabad",642.9141235,28.76055145
40978,"Jajarm",778.4990845,28.03468895
40992,"Kashmar",720.7846069,28.64154053
41006,"Khvaf",723.977417,36.16664505
41031,"Mashhad",765.0309448,31.50411797
41044,"Nahbandan",470.198761,19.94973755
41053,"Nishabur",795.0905151,26.14031029
41069,"Quchan",841.8087769,27.57338524
41081,"Sabzevar",651.4963379,25.47327232
41089,"Sarakhs",1014.574707,35.56186295
41113,"Shirvan",669.1409912,27.69727135
41120,"Tabas",594.524231,16.58552551
41129,"Taybad",886.4451904,40.43241119
41133,"Torbat-e heydarieh",775.3701782,34.91430283
41134,"Torbat-e jam",791.5811768,41.00733948
40864,"Abumusa",1175.099976,24.76922989
40896,"Bandar-e abbas",761.8201904,41.3507843
40899,"Bandar-elengeh",857.7477417,36.79895401
40963,"Geshm",705.6141968,35.46932983
40970,"Hajiabad",695.2254639,41.75
40979,"Jask",486.6899719,33.89471817
41039,"Minab",676.8551636,36.21965027
41078,"Rudan",718.4197998,34.23249817
40862,"Abdanan",1210.860718,71.74752808
40925,"Darrehshahr",1260.280762,71.84816742
40930,"Dehloran",1167.562134,59.25035477
40946,"Eylam",1166.954224,66.0690155
40947,"Eyvan",1273.341431,74.41873932
41033,"Mehran",1165.305908,56.63702774
41112,"Shirvan-e chardavol",1305.134399,70.33798981
40890,"Baft",628.9675903,39.48471451
40893,"Bam",501.4515076,14.21882725
40902,"Bardsir",585.1557007,39.14945221
40981,"Jiroft",673.7548828,27.29173851
40985,"Kahnug",600.5418701,27.84681129
40994,"Kerman",568.6260986,18.27352333
41070,"Rafsanjan",590.7042236,27.98958588
41073,"Ravar",664.5084839,20.19815826
41106,"Shahr_e babak",554.4398193,35.80645752
41116,"Sirjan",614.1367188,42.33448029
41141,"Zarand",652.4507446,25.31914139
40859,"Abadan",459.3119202,36.85449982
40868,"Ahvaz",1164.18396,54.56671906
40873,"Andimeshk",1286.036133,84.29445648
40891,"Bagh-e Malek",1232.188599,75.08335876
40895,"Bandar-e aahshahr",1012.007446,48.98505402
40905,"Behbehan",1503.180054,54.96369553
40926,"Dasht-e azadegan",1187.660645,46.99126053
40934,"Dezful",1278.537109,82.79089355
40938,"Eizeh",1153.536011,74.07341003
41004,"Khorramshahr",633.9603882,39.17760468
41032,"Masjed-e soleiman",1195.758301,88.1542511
41056,"Omidiyyeh",1288.879761,56.53626251
41071,"Ramhormoz",1195.995361,68.94983673
41102,"Shadgan",717.2557373,42.8835907
41114,"Shush",1346.761719,66.85965729
41115,"Shushtar",1198.059448,81.40393829
40914,"Boyyerahmad",849.8497925,59.47876358
40936,"Dogonbadan",1457.491455,56.91397476
41008,"Kohkiluyeh",1085.89856,63.05231857
40900,"Baneh",15.33819866,109.5424118
40907,"Bijar",-190.0405884,60.98805237
40935,"Divandarreh",-402.1439209,67.41397858
40987,"Kamyaran",636.5690308,82.67367554
41028,"Marivan",214.3246002,119.822464
41068,"Qorveh",-121.1550369,63.81712723
41085,"Sanandaj",224.3720093,82.90375519
41086,"Saqez",-205.394989,73.64702606
18255,"Administrative unit not available",794.3147583,9.974126816
40870,"Aligudarz",206.8106537,61.15860367
40886,"Azna",310.8059998,56.78740692
40911,"Borugerd",631.2093506,62.80638123
40931,"Delfan",575.3651733,68.64161682
40937,"Dorud",697.6552734,66.69623566
41001,"Khorramabad",778.4257813,76.98925781
41011,"Kuhdasht",1176.412109,73.34700012
41064,"Pol-e dokhtar",1030.629395,81.35307312
