"ADM2_CODE","ADM2_NAME","EVI","Precipitation"
40943,"Eslamabad-e gharb",1156.623901,68.67619324
40964,"Gilan-e gharb",1321.994263,68.90538025
40974,"Hersin",1000.520203,50.77122879
40980,"Javanrud",1213.729004,85.93903351
40989,"Kangavar",1032.593384,45.03836823
40995,"Kermanshah",1192.205322,59.01841736
41062,"Paveh",725.3102417,91.22395325
41066,"Qasr-e shirin",853.6760864,45.33558273
41082,"Sahneh",837.4176025,48.88282776
41087,"Sar-e pol-e zahab",1382.584106,83.65119171
41119,"Sonqor",454.0342407,45.42001724
40917,"Busheher",1010.52771,64.47972107
40927,"Dashtestan",1319.6427,59.24348068
40928,"Dashty",1126.037109,45.82631683
40929,"Dayyer",1086.623535,38.953022
40933,"Deylaman",1125.786499,86.94558716
40962,"Genaveh",1065.799316,74.88181305
40988,"Kangan",1289.338013,38.54357147
41126,"Tangestan",1160.898438,54.82902145
40878,"Ardel",988.0345459,50.4578743
40912,"Borujen",926.6688232,38.07188416
40951,"Farsan",659.6147461,45.00084686
41017,"Lordegan",1118.950562,53.15226746
41109,"Shar-e kord",851.7443848,38.32105255
40865,"Administrative unit not available",783.8086548,9.217143059
40867,"Ahar",555.397583,26.19863701
40885,"Azarshahr",518.7049561,26.91319084
40894,"Banab",528.7930908,33.07429886
40913,"Bostanabad",423.7780457,27.89417458
40972,"Hashtrud",326.9416199,35.23978424
40973,"Heris",494.1408997,25.53885841
40982,"Jolfa",803.8222046,22.02841377
40986,"Kalibar",750.2245483,29.64622879
41024,"Malekan",753.333313,35.18979263
41026,"Maragheh",351.6621399,30.94274139
41027,"Marand",718.7449951,23.02771568
41038,"Mianeh",705.0993652,40.78594208
41059,"Osku",498.2382202,26.55144119
41088,"Sarab",553.7316895,26.3669529
41101,"Shabestar",706.4297485,24.81383514
41121,"Tabriz",442.7458496,25.93524933
40875,"Aran Va Bidgol",518.831604,8.645388603
40879,"Ardestan",507.1206665,7.832174778
40903,"Barkhvar va meymeh",637.4991455,16.57588959
40941,"Esfehan",708.7959595,15.26959991
40948,"Falavarjan",1161.10791,22.96388245
40949,"Faridan",716.7213745,31.61737251
40954,"Fereydunshahr",580.5543213,36.86491013
40966,"Golpaygan",670.2834473,24.21201515
40991,"Kashan",599.5141602,11.95289135
41000,"Khomeinishahr",1057.861938,21.13888931
41007,"Khvansar",541.1164551,25.87546921
41015,"Lanjan",671.6826172,31.00247192
41041,"Mobarakeh",868.4759521,27.12945747
41042,"Naein",553.1339722,6.25902319
41045,"Najafabad",598.6114502,22.5824337
41048,"Natanz",566.0855103,9.880862236
41084,"Samirom",900.3100586,37.3779335
41107,"Shahreza",802.2228394,26.88780403
41131,"Tiran",638.703186,27.30330658
40860,"Abadeh",704.8617554,23.71658897
40880,"Arsanjan",835.2556152,32.29505157
40904,"Bavanat",814.4386597,25.20808983
40924,"Darab",948.6310425,30.83659554
40939,"Eqlid",939.331665,32.80780029
40945,"Estahban",1045.413208,33.97170639
40952,"Fasa",1049.467163,35.81978989
40955,"Firuzabad",1141.313477,45.48767853
40977,"Jahrom",1012.446167,40.39926529
40993,"Kazerun",1528.257324,52.89435959
41002,"Khorrambid",861.9157104,27.48597908
41013,"Lamerd",1126.142578,37.90001297
41016,"Lar",927.9133301,35.15608215
41025,"Mamasani",1400.775146,61.46831512
41029,"Marvdasht",1175.550293,39.52151489
41050,"Neyriz",712.7947388,28.92465782
41099,"Sepidan",1147.579956,46.16204071
41111,"Shiraz",1173.29187,47.11536026
40871,"Amlash",2347.113037,67.62207031
40883,"Astane-ye ashrafieh",2176.451904,132.9600677
40884,"Astara",2423.012695,68.97245026
40897,"Bandar-e anzali",1685.256958,167.2302399
40957,"Fuman",1958.769775,97.11780548
41010,"Kuchesfehan",2523.562256,145.7853088
