"ADM2_CODE","ADM2_NAME","EVI Index","Precipitation Index"
40943,"Eslamabad-e gharb",909.5336304,79.26738739
40964,"Gilan-e gharb",1554.679688,79.90129852
40974,"Hersin",731.4988403,55.97096634
40980,"Javanrud",1091.944824,103.4406815
40989,"Kangavar",583.0374756,52.5339241
40995,"Kermanshah",924.8823853,64.37606812
41062,"Paveh",909.9639893,114.8897324
41066,"Qasr-e shirin",937.7716064,40.84051132
41082,"Sahneh",609.911377,56.39816666
41087,"Sar-e pol-e zahab",1961.257935,96.20185852
41119,"Sonqor",117.1675339,56.6569519
40917,"Busheher",1197.033203,30.3954277
40927,"Dashtestan",1660.453247,45.71246338
40928,"Dashty",1443.05957,38.57771301
40929,"Dayyer",1419.682739,34.78666687
40933,"Deylaman",1462.185791,34.87452316
40962,"Genaveh",1355.213013,33.14908218
40988,"Kangan",1555.057495,42.5201683
41126,"Tangestan",1330.689209,37.14897537
40878,"Ardel",-177.0338593,46.65485764
40912,"Borujen",-667.8237305,37.44628906
40951,"Farsan",-481.8104553,46.55319595
41017,"Lordegan",-160.5368652,45.15752411
41109,"Shar-e kord",-320.5422668,38.72909927
40865,"Administrative unit not available",821.3202515,8.170719147
40867,"Ahar",240.5171356,27.50436974
40885,"Azarshahr",306.2774048,28.42989922
40894,"Banab",540.0882568,36.38664627
40913,"Bostanabad",-253.4809875,29.41248131
40972,"Hashtrud",157.2642822,36.62948608
40973,"Heris",-208.5860901,26.55928802
40982,"Jolfa",552.0449219,21.66505051
40986,"Kalibar",940.5620117,29.01923943
41024,"Malekan",637.1263428,39.1002121
41026,"Maragheh",17.95205879,33.66890717
41027,"Marand",155.2860565,22.46789742
41038,"Mianeh",492.5458984,38.14117432
41059,"Osku",257.9560547,27.2571125
41088,"Sarab",74.48358154,29.74583817
41101,"Shabestar",357.617218,24.34337997
41121,"Tabriz",150.080307,25.65696907
40875,"Aran Va Bidgol",478.0979614,16.15953445
40879,"Ardestan",443.7834473,14.02299118
40903,"Barkhvar va meymeh",524.6005249,21.00423622
40941,"Esfehan",607.7595825,17.5108757
40948,"Falavarjan",707.8276367,18.60169411
40949,"Faridan",-407.5840454,36.01588058
40954,"Fereydunshahr",-615.1086426,41.45093918
40966,"Golpaygan",395.7129211,29.01016235
40991,"Kashan",506.8170471,19.16786957
41000,"Khomeinishahr",803.5454712,19.49429703
41007,"Khvansar",-30.27864838,31.31494331
41015,"Lanjan",465.6545105,28.01753426
41041,"Mobarakeh",631.5234985,22.85519791
41042,"Naein",526.7879028,12.25346184
41045,"Najafabad",439.4649048,25.43602943
41048,"Natanz",461.4655151,16.99610901
41084,"Samirom",-569.7167358,39.07466888
41107,"Shahreza",397.9222412,26.4770031
41131,"Tiran",302.0563049,29.79372978
40860,"Abadeh",547.7436523,29.11478806
40880,"Arsanjan",740.932312,44.52838898
40904,"Bavanat",491.5804138,38.1104393
40924,"Darab",997.8734741,47.26963806
40939,"Eqlid",-194.8193512,39.52405548
40945,"Estahban",1019.21344,51.33575439
40952,"Fasa",1119.575562,52.29750824
40955,"Firuzabad",1295.096069,51.93817902
40977,"Jahrom",1069.559448,54.02941895
40993,"Kazerun",1665.115723,58.20885086
41002,"Khorrambid",204.9601288,37.62343597
41013,"Lamerd",1508.15271,46.27054596
41016,"Lar",1169.375122,46.92908096
41025,"Mamasani",1222.319092,52.02970123
41029,"Marvdasht",540.0975952,46.02103424
41050,"Neyriz",697.4334717,45.85451508
41099,"Sepidan",-272.4610291,50.12836838
41111,"Shiraz",645.3763428,53.73828125
40871,"Amlash",1552.678223,50.47994232
40883,"Astane-ye ashrafieh",1797.211304,94.46266174
40884,"Astara",1830.441162,65.875
40897,"Bandar-e anzali",1232.42334,107.1631775
40957,"Fuman",1509.453979,63.63515854
41010,"Kuchesfehan",1854.621582,102.4222641
41012,"Lahijan",1988.585815,90.37220001
41014,"Langrud",1847.288452,76.49208069
41030,"Masal",1633.972656,69.50068665
41076,"Rezvanshahr",1603.121582,67.26215363
41079,"Rudbar",1143.479736,44.26629257
41080,"Rudsar",1081.107178,49.10239029
41100,"Seyahkal",1396.614014,52.23589706
41103,"Shaft",1494.643066,78.21576691
41118,"Someehsara",1692.498535,103.434227
41128,"Tavalesh",1516.781738,57.40884781
40881,"Asadabad",245.8144684,52.72060394
40892,"Bahar",-317.4216003,50.926651
40971,"Hamedan",95.63357544,41.83781433
40984,"Kabudarahang",-214.8432617,49.39379501
41023,"Malayer",246.3019409,37.45859528
41043,"Nahavand",377.168335,47.10285187
41074,"Razan",-397.6740112,41.34636688
41135,"Tuyserkan",340.7192688,47.31356049
40901,"Bardeskan",547.317749,18.37374687
40909,"Birjand",477.9996948,20.2270813
40910,"Bojnord",817.6396484,29.8125515
40920,"Chenaran",880.5521851,32.04573441
40923,"Dar-e Gaz",882.366272,29.01855469
40940,"Esfarayen",721.2142944,26.53347397
40950,"Fariman",796.6439819,36.25384903
40953,"Ferdos",569.7233887,16.98981094
40959,"Gaenat",668.4413452,25.86030579
40967,"Gonabad",583.9143066,22.29421234
40978,"Jajarm",746.5406494,27.19783783
40992,"Kashmar",708.2885742,25.04054451
41006,"Khvaf",672.4719238,31.98091125
41031,"Mashhad",794.9991455,33.59736633
41044,"Nahbandan",409.1853943,18.25833321
41053,"Nishabur",736.1486206,27.5544281
41069,"Quchan",832.5352173,30.96621704
41081,"Sabzevar",601.3665771,21.48263168
41089,"Sarakhs",959.3878784,30.088377
41113,"Shirvan",707.5973511,30.52016068
41120,"Tabas",548.8884888,13.68384743
41129,"Taybad",920.2399902,38.85359192
41133,"Torbat-e heydarieh",774.6622925,31.74695015
41134,"Torbat-e jam",872.019043,39.37791824
40896,"Bandar-e abbas",771.8113403,36.76192856
40899,"Bandar-elengeh",921.824707,41.64608383
40963,"Geshm",660.8468018,34.07205582
40970,"Hajiabad",688.6852417,40.85079956
40979,"Jask",414.0129089,30.2192421
41039,"Minab",613.1738892,32.81052399
41078,"Rudan",844.8716431,30.93250084
40862,"Abdanan",1433.730469,52.46201706
40925,"Darrehshahr",1390.783569,55.36146927
40930,"Dehloran",1459.734375,45.04354477
40946,"Eylam",1247.218506,66.28341675
40947,"Eyvan",1385.465698,73.91288757
41033,"Mehran",1281.922363,55.16508102
41112,"Shirvan-e chardavol",1383.823853,61.68357086
40890,"Baft",517.6577759,41.48391724
40893,"Bam",463.9835205,19.54064941
40902,"Bardsir",429.9367981,39.70928192
40981,"Jiroft",615.0615234,32.90920258
40985,"Kahnug",625.3130493,27.34016991
40994,"Kerman",532.8384399,18.74828529
41070,"Rafsanjan",553.9522705,25.49059296
41073,"Ravar",648.8414307,17.62811852
41106,"Shahr_e babak",451.4037476,32.2144661
41116,"Sirjan",489.4779663,40.51711273
41141,"Zarand",601.9787598,23.03851318
40859,"Abadan",329.5418701,25.67772865
40868,"Ahvaz",1309.217529,35.10746765
40873,"Andimeshk",1462.602417,55.50880432
40891,"Bagh-e Malek",1343.699219,60.96278
40895,"Bandar-e aahshahr",1018.843811,33.37451935
40905,"Behbehan",2006.808838,41.30738068
40926,"Dasht-e azadegan",1386.15918,29.57486725
40934,"Dezful",1312.121582,57.83715057
40938,"Eizeh",1028.901489,59.29924393
41004,"Khorramshahr",556.9024658,24.84731483
41032,"Masjed-e soleiman",1333.516235,70.37640381
41056,"Omidiyyeh",1404.809814,41.13238144
41071,"Ramhormoz",1395.552002,52.79676056
41102,"Shadgan",647.1573486,27.55093002
41114,"Shush",1893.504761,41.47347641
41115,"Shushtar",1604.307251,56.98352051
40914,"Boyyerahmad",-156.5325623,47.35917282
40936,"Dogonbadan",1658.126221,47.55224991
41008,"Kohkiluyeh",953.1384277,50.61609268
40900,"Baneh",648.0665894,116.1497421
40907,"Bijar",116.1497879,52.89972305
40935,"Divandarreh",-303.8376465,59.74232483
40987,"Kamyaran",450.9062805,72.45591736
41028,"Marivan",706.7924805,111.7194519
41068,"Qorveh",78.6096344,55.56763458
41085,"Sanandaj",414.7168579,71.9704361
41086,"Saqez",107.7989197,67.54971313
18255,"Administrative unit not available",821.3202515,8.170719147
40870,"Aligudarz",-151.8085175,46.6686821
40886,"Azna",-288.3469849,42.62073898
40911,"Borugerd",101.212059,42.19405746
40931,"Delfan",-86.84673309,52.35428619
40937,"Dorud",205.0939789,47.217453
41001,"Khorramabad",391.5202026,54.22249603
41011,"Kuhdasht",962.3146973,56.55891037
41064,"Pol-e dokhtar",1023.905396,56.95832062
41097,"Selseleh",143.3887177,50.54344177
40874,"Arak",243.1750793,37.45627975
40882,"Ashtiyan",450.157196,32.56961441
