"LANG","code","continent",Country,nameE,asd
"EN","150","Europe","Albania","the Republic of Albania","Yes"
"EN","142","Asia","Armenia","the Republic of Armenia","Yes"
"EN","150","Europe","Austria","the Republic of Austria","Yes"
"EN","009","Oceania","Australia","Australia","Yes"
"EN","142","Asia","Azerbaijan","the Republic of Azerbaijan","Yes"
"EN","142","Asia","Bangladesh","the People's Republic of Bangladesh","Yes"
"EN","150","Europe","Bulgaria","the Republic of Bulgaria","Yes"
"EN","142","Asia","Bhutan","the Kingdom of Bhutan","Yes"
"EN","150","Europe","Belarus","the Republic of Belarus","Yes"
"EN","419","Latin America and the Caribbean","Belize","Belize","Yes"
"EN","021","Northern America","Canada","Canada","Yes"
"EN","142","Asia","Cyprus","the Republic of Cyprus","Yes"
"EN","150","Europe","Czech Republic","the Czech Republic","Yes"
"EN","150","Europe","Denmark","the Kingdom of Denmark","Yes"
"EN","150","Europe","Estonia","the Republic of Estonia","Yes"
"EN","002","Africa","Egypt","the Arab Republic of Egypt","Yes"
"EN","150","Europe","Finland","the Republic of Finland","Yes"
"EN","142","Asia","Georgia","Georgia","Yes"
"EN","002","Africa","Ghana","the Republic of Ghana","Yes"
"EN","142","Asia","China, Hong Kong","China, Hong Kong Special Administrative Region","Yes"
"EN","150","Europe","Bosnia and Herzegovina","China, Hong Kong Special Administrative Region","No"
"EN","150","Europe","Hungary","Hungary","Yes"
"EN","150","Europe","Ireland","Ireland","Yes"
"EN","142","Asia","Israel","the State of Israel","Yes"
"EN","142","Asia","India","the Republic of India","Yes"
"EN","142","Asia","Iran (Islamic Republic of)","the Islamic Republic of Iran","Yes"
"EN","150","Europe","Iceland","the Republic of Iceland","Yes"
"EN","419","Latin America and the Caribbean","Jamaica","Jamaica","Yes"
"EN","142","Asia","Jordan","the Hashemite Kingdom of Jordan","Yes"
"EN","142","Asia","Japan","Japan","Yes"
"EN","002","Africa","Kenya","the Republic of Kenya","Yes"
"EN","142","Asia","Kyrgyzstan","the Kyrgyz Republic","Yes"
"EN","002","Africa","Lesotho","the Kingdom of Lesotho","Yes"
"EN","150","Europe","Lithuania","the Republic of Lithuania","Yes"
"EN","150","Europe","Latvia","the Republic of Latvia","Yes"
"EN","150","Europe","Croatia","the Republic of Croatia","Yes"
"EN","142","Asia","Mongolia","Mongolia","Yes"
"EN","142","Asia","China, Macao ","China, Macao Special Administrative Region","Yes"
